identifier,file,mediatype,collection,licenseurl,publisher,year,date,creator[0],creator[1],creator[2],creator[3],language,title,description
SeaGL2022-Brian_Peters-Virtual_Data_Optimizer,SeaGL2022-Brian_Peters-Virtual_Data_Optimizer.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-05,Brian Peters,,,,English,VDO - Virtual Data Optimizer,"<p>Introduction to Virtual Data Optimizer (VDO), an advanced storage technology for maximizing drive space. In this presentation we’ll discuss use cases for VDO, advantages &amp; disadvantages, and demo configuring &amp; testing a drive using Virtual Data Optimizer.</p>"
SeaGL2022-Brian_Raiter-Programmer_Culture_The_Odd_Phenomenon_of_Recreational_Programming,SeaGL2022-Brian_Raiter-Programmer_Culture_The_Odd_Phenomenon_of_Recreational_Programming.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-05,Brian Raiter,,,,English,Programmer Culture: The Odd Phenomenon of Recreational Programming,"<p>The term “recreational programming” may strike some people as a pure contradiction in terms. However, there are few more effective ways to learn something well than to play with it. Even up until the point that it breaks. Within programmers, there is a odd nexus where such concepts as esoteric languages, polyglot programs, and “code golfing” meet, cross over, and become horribly yet fascinatingly entangled. These pursuits, which strike many outsiders as intrinsically useless, instead reveal what happens when programming becomes, like art, an activity that is pursued for its own sake, and the ridiculous becomes the highest good. If you don’t know how to program but want a deeper glimpse into the minds of those who do, then this talk is for you.</p>"
SeaGL2022-Charlotte_McGraw-Self-hosting_Simple_Web_Apps_With_Traefik_and_Docker_Compose,SeaGL2022-Charlotte_McGraw-Self-hosting_Simple_Web_Apps_With_Traefik_and_Docker_Compose.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-05,Charlotte McGraw,,,,English,Self-hosting Simple Web Apps With Traefik and Docker Compose,"<p>In this talk, I will discuss the pros and cons of self-hosting web apps (such as Nextcloud, Airsonic, calibre-web) and how to simplify deployment with Traefik’s reverse proxy implementation and publicly available docker containers.</p><p>This presentation is targeted to folks with “beginner to intermediate” level knowledge. Attendees will benefit most if they have a basic understanding of:</p><ul><li>what docker containers are</li><li>how to run services on a linux server</li><li>using a domain registrar and setting DNS records</li></ul><p>I plan to show and explain/walk-through a sample docker-compose.yml file to tie the abstract concepts to a real-world implementation.</p>"
SeaGL2022-Dawn_E_Collett-Finding_the_right_tools_for_your_new_job,SeaGL2022-Dawn_E_Collett-Finding_the_right_tools_for_your_new_job.mp4,movies,seagl,https://creativecommons.org/licenses/by-nc-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-04,Dawn E. Collett,,,,English,Finding the right tools for your new job,"<p>Mobility is a natural part of working in technology. As well as career changers from outside the industry, people frequently move between generalist and specialist roles, or switch to emerging areas such as DevOps and machine learning. Just as a blender makes a different kind of smoothie to a food processor, your choice of technical tools should depend on the type of job that you’re doing.</p><p>All projects involve some degree of uncertainty, no matter how effective the planning phase is. However, one advantage of having experience outside of your current job is that you can bring different frameworks, methodologies, and thought processes to the table. Contributing to open-source software, and involvement in the FOSS community, can be a valuable source of knowledge on ways of working, particularly when you’re working for an organisation that’s on a budget. However, it can be difficult to know how to translate that expertise into a commercial environment, or one where open-source isn’t valued.</p><p>So how do we apply lessons from the open-source world at non-FOSS companies? What kinds of questions should we ask to determine the best way to solve problems, and how can we use our expertise to recover from process-induced failure? From latkes to licenses to full-stack applications, let’s break down some different ways to build structures that support us in getting our jobs done.</p>"
SeaGL2022-Deb_Nicholson-Cross-Pollinate_Your_Volunteering,SeaGL2022-Deb_Nicholson-Cross-Pollinate_Your_Volunteering.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-04,Deb Nicholson,,,,English,Cross-Pollinate Your Volunteering,"<p>Become a better volunteer and maybe even a better person by diversifying the kind of organizations you volunteer for. It sometimes feels like FOSS non-profits are re-inventing the wheel with regards to tasks like outreach, volunteer recruitment and retention, community governance and strategic planning. But mission based work has been around for a long, long time and so there’s a huge community of non-technical practitioners building community. The value of cross-pollination goes both ways, you can help less technical non-profits think clearly about the role technology plays in their work, while learning about the organizational skills that every volunteer-driven project relies on.</p><p>The speaker will discuss the joys of mixing up your volunteering for your own benefit and for the benefit of all the places you give your time to. If you’re up for thinking deeply about the kind of volunteer you want to be over the course of your life, then this talk is for you.</p>"
SeaGL2022-Deb_Nicholson-Grow_Your_FOSS_Project_with_this_One_Weird_Trick,SeaGL2022-Deb_Nicholson-Grow_Your_FOSS_Project_with_this_One_Weird_Trick.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-05,Deb Nicholson,,,,English,Grow Your FOSS Project with this One Weird Trick,"<p>The best and most reliable way to grow an open source project is to get really, really good at delegating. Maybe you don’t think delegating is for you? New delegators might be tempted to delegate without documenting or without providing context. Or worse to give away the things that new folks can’t or don’t want to do. These behaviors lead to poor outcomes and can even leave projects unwilling to delegate again.</p><p>This talk covers why you want to take the time to learn to delegate well, how to set up your delegees for success and when to start thinking about delegating. Build a bigger, better, happier open source project with this one weird trick!</p>"
SeaGL2022-der_hans-Firefox_Multi-Account_Containers,SeaGL2022-der_hans-Firefox_Multi-Account_Containers.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-04,der.hans,,,,English,Firefox: Multi-Account Containers,<p>Firefox Multi-Account Containers (FMAC) is a great tool for isolating web sites in a browser session.</p><p>FMAC can simplify using accounts on the same multiple web site in the browser.</p><p>The addon is from the Firefox project.</p><p>FMAC uses containers to block cookies in one tab from accessing cookies in other tabs.</p><p>Attendees will know:</p><ul><li>Firefox add-ons</li><li>Firefox containers</li><li>browser privacy</li><li>browser security</li><li>browser cookies</li><li>walled garden containers</li></ul>
SeaGL2022-der_hans-Intermediate_jq_sed_for_json,SeaGL2022-der_hans-Intermediate_jq_sed_for_json.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-04,der.hans,,,,English,Intermediate jq: sed for json,"<p>Part 2 of the jq trilogy (part 1 was given at SeaGL 2021).</p><p>In this part we cover using jq to change JSON documents from the command line.</p><p>Attendees will learn:</p><ul><li>adding and removing entries</li><li>trimming data</li><li>map function</li><li>group_by function</li><li>combinations function</li></ul><p>Today’s APIs and databases feed us lots of JSON. It’s a structured, line-independent data format, and our normal line-based tools such as grep, sed and awk fall a bit short.</p><p>jq understands JSON document format that’s easy to fit into your data pipeline. It can parse, search and manipulate JSON documents.</p> <p>The first talk introducted jq and covered using it to search JSON objects similar to how grep is used for plain text.</p>"
SeaGL2022-Ernie_Smith-Falling_off_the_Platform,SeaGL2022-Ernie_Smith-Falling_off_the_Platform.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-04,Ernie Smith,,,,English,Falling off the Platform,"<p>Keynote</p>"
SeaGL2022-Josh_Berkus-Choose_Your_Candidate,SeaGL2022-Josh_Berkus-Choose_Your_Candidate.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-04,Josh Berkus,,,,English,Choose Your Candidate,"<p>Big, popular open source projects have as many elections as Seattle does. Instead of mailboxes, though, they use online voting platforms. Most of this voting software implements what are called “preference elections” in order to choose the most liked candidate. This started with the venerable CIVS, and now includes several software projects like Helios and Elekto.</p><p>We’ll cover what preference elections are, how they work, and why you want them for your project elections. Then we’ll briefly explore the open source options available for voting software.</p><p>Whether you’re already part of a project using voting software and want to know more, looking for a voting platform for your project, or just interested in online ballot systems, you’ll learn a lot about options and implementations.</p>"
