identifier,file,mediatype,collection,licenseurl,publisher,year,date,creator[0],creator[1],creator[2],language,title,description
SeaGL2021-der_hans-Introduction_to_Nextcloud,SeaGL2021-der_hans-Introduction_to_Nextcloud.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-05,der.hans,,,English,Introduction to Nextcloud,"<p>Nextcloud for private, secure cloud features such as collaboration tools, Enterprise File Sync and Share and phone syncing.</p><p>Your data, your cloud.</p><p>Nextcloud integrates with Collabora Online for collaborative office suite.</p><p>In addition to the Nextcloud Talk for video calls it integrates with Big Blue Button for full classroom and meeting style video conferencing.</p><p>Nextcloud also has options like phone contact and file sync, web forms, project management and password management.</p><p>Nextcloud is used by large, enterprise organizations, but can also be self-hosted at home for personal use. There are commercial vendors that offer hosting and some Free Software organizations offer hosting as well.</p><p>Nextcloud was created to be Free Software. Using the AGPL helps ensure it will remain Free in the future.</p><p>Attendees will learn about:</p><ul><li>Basic features of Nextcloud</li><li>Integrations with Collabora Online office suite and Big Blue Button</li><li>Nextcloud apps</li><li>Nextcloud history</li><li>Hosting options</li></ul>"
SeaGL2021-Dmitry_Dolgov-Sounds_of_Open_Source_archaeology_processing_sound_with_sox,SeaGL2021-Dmitry_Dolgov-Sounds_of_Open_Source_archaeology_processing_sound_with_sox.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Dmitry Dolgov,,,English,Sounds of Open Source archaeology: processing sound with sox,"<p>It’s indeed useful to get out of your comfort zone from time to time and apply your engineering skills in some new area. Once upon a time I’ve got interested about what kind of simple sound processing one could do using only command line tools at hand. Knowing nothing about the subject it proved to be a challenge for a total newbie like me, but an exciting one with pretty interesting results. The final knowledge was not only tips and tricks about tooling, but also the story of projects behind those tools, which I would love to share with you.</p>"
SeaGL2021-Dr_Morgan_Lemmer-Webber_and_Christine_Lemmer-Webber-Interdisciplinarity_in_FOSS,SeaGL2021-Dr_Morgan_Lemmer-Webber_and_Christine_Lemmer-Webber-Interdisciplinarity_in_FOSS.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Dr. Morgan Lemmer-Webber,Christine Lemmer-Webber,,English,Interdisciplinarity in FOSS,"<p>Morgan and Chris talk about the skills they’ve learned in their humanities backgrounds and how those have translated into their work within FOSS communities and projects. They’ll then discuss the benefits of seeking out varied skillsets within your communities, the value of looking at problems from multiple lenses, and how to use all of the tools we’ve got to promote our projects.</p>"
SeaGL2021-Elana_Hashman-how_to_get_stuff_done_in_open_source,SeaGL2021-Elana_Hashman-how_to_get_stuff_done_in_open_source.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-05,Elana Hashman,,,English,how to get stuff done in open source,
SeaGL2021-Elior_Sterling-Developing_on_Nextcloud,SeaGL2021-Elior_Sterling-Developing_on_Nextcloud.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-05,Elior Sterling,,,English,Developing on Nextcloud,"<p>NextCloud is an open source alternative to Google Workspace. It has document editing, time tracking, project management tools, and many more apps that you might want to use in business or activism, but there’s a lot that could be made better. YOU can help make it better!</p><p>This talk will show you what you need to do to get started with improving the core apps for NextCloud or developing your own using PHP and Javascript.</p>"
SeaGL2021-Francois_Caen-Building_cloud_networks_Terraform_or_Ansible,SeaGL2021-Francois_Caen-Building_cloud_networks_Terraform_or_Ansible.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,François Caen,Troy Perkins,,English,Building cloud networks: Terraform or Ansible?,"<p>While DevOps folks are deploying cloud apps at cloud speed, traditional network engineers are still hand jamming on their routers’ CLI like it’s 1999. Let’s fix that!</p><p>In this session, we will show you how to deploy multi-cloud networks in the Infrastructure-as-Code age using modern tooling. And we’ll answer the question in every network engineer’s mind once and for all: Terraform or Ansible?</p>"
SeaGL2021-Georg_Link-Building_and_Supporting_Open_Source_Communities_Through_Metrics,SeaGL2021-Georg_Link-Building_and_Supporting_Open_Source_Communities_Through_Metrics.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-05,Georg Link,,,English,Building and Supporting Open Source Communities Through Metrics,"<p>Each community is different and therefore requires different metrics for data-driven decisions about building and supporting it. The CHAOSS Project was started to help understand open source communities through metrics. We have had many conversations and realized that everyone cares about a different aspect of the community. This talk will share what we have learned in the CHAOSS Project about having metrics for open source communities. Once the right metrics have been decided on, challenges need to be overcome, both technical and organizational challenges. Finally, this talk will share real-world examples of how open source community metrics have been used to help build and support open source communities.</p>"
SeaGL2021-Jim_Hall-Open_Source_Business_Practices,SeaGL2021-Jim_Hall-Open_Source_Business_Practices.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Jim Hall,,,English,Open Source Business Practices,"<p>The Open Source Initiative partnered with Brandeis University to deliver a series of micro courses about open source software. This Open Source Technology Management program includes several sub-topics. In early 2021, Jim taught the micro courses about Open Source Business Practices and how to Establish an Open Source Program Office.</p><p>This talk will share highlights from Open Source Business practices, including how organizations can use open source to run their business, pros and cons of licenses, and engaging with the community.</p><p>For example, a business might include open source software as part of their overall stack, such as in a Cloud offering. Or a business might include code licensed under a permissive license like BSD, to build a proprietary product. Or a business might release a proprietary product as open source software. Or they might use open source in some other way. This micro course helped people understand the issues in using or adopting open source, and how to do it right. (A key point in the course was “If you use open source to run your business, you should <em>invest</em> in that open source software.” Don’t just take; you need to contribute back.</p>"
SeaGL2021-Josh_Berkus-Open_Source_Governance_Six_Types_and_Three_Models,SeaGL2021-Josh_Berkus-Open_Source_Governance_Six_Types_and_Three_Models.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Josh Berkus,,,English,Open Source Governance: Six Types and Three Models,"<p>So, your open source project needs to adopt some kind of governance. But what kind? And are there models you can copy from? When you first contemplate governance, it seems baffling and random, but on analysis it turns out there are some great standard options and prior art. This session will help you understand, and then choose.</p><p>Based on work done by OSPOs and the CNCF Governance Working Group, we will explain:</p><ol type=""1""><li>What governance really is</li><li>The six types of OSS project governance</li><li>Three models you can copy for your project</li></ol><p>After this brief presentation you will be ready to start on writing or revising your own project’s governance.</p>"
SeaGL2021-Katie_McLaughlin-Expressive_Security,SeaGL2021-Katie_McLaughlin-Expressive_Security.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Katie McLaughlin,,,English,Expressive Security,"<p>Emoji are an interesting beast. Once an obscure part of the Unicode standard, they are now so popular you can buy Emoji Poop Slippers (yes, I’m serious).</p><p>However, now that emoji are saturating our systems so, there are interesting side effects. Follow along as we discover how some systems do not like emoji, which systems can handle the odd non-standard character, and if we can find any security vulnerabilities only using the humble smiley-face.</p><p>In this talk, we will cover many aspects, including:</p><ul><li>a short history of emoji</li><li>the year of emoji convergence</li><li>how to identify your operating system based on how emoji appear</li><li>how one WordPress fix saved a quarter of the internet from XSS through emoji</li></ul><p>By the end of this talk, you will appreciate how complex human expression is, and why ensuring unicode compatibility will help your systems.</p>"
